Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2018,9,1,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,2,5.4,5.2,5.2,5.2,—,—,—,—,—
Bukit Timah,2018,9,3,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,4,16,6.4,10.8,14.8,—,—,—,—,—
Bukit Timah,2018,9,5,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,6,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,7,71.2,29.2,45,50.8,—,—,—,—,—
Bukit Timah,2018,9,8,41.4,13.6,18.6,33,—,—,—,—,—
Bukit Timah,2018,9,9,6,4.8,5.6,5.8,—,—,—,—,—
Bukit Timah,2018,9,10,2.4,1.4,2.4,2.4,—,—,—,—,—
Bukit Timah,2018,9,11,0.4,0.2,0.2,0.2,—,—,—,—,—
Bukit Timah,2018,9,12,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,13,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,14,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,15,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,16,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,17,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,18,3.8,2.6,3.2,3.2,—,—,—,—,—
Bukit Timah,2018,9,19,42.6,19,30,41.6,—,—,—,—,—
Bukit Timah,2018,9,20,10.2,7.4,9.6,10.2,—,—,—,—,—
Bukit Timah,2018,9,21,35.4,29.6,32.8,32.8,—,—,—,—,—
Bukit Timah,2018,9,22,5.2,2.6,3.6,5.2,—,—,—,—,—
Bukit Timah,2018,9,23,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,24,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,25,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,26,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,27,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,28,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,29,0,0,0,0,—,—,—,—,—
Bukit Timah,2018,9,30,0,0,0,0,—,—,—,—,—
