Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bukit Timah,2020,7,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,4,     1.4,     1.2,     1.2,     1.4,-,-,-,-,-
Bukit Timah,2020,7,5,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,7,6,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,7,7,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Bukit Timah,2020,7,8,    13.2,     4.6,     8.2,    12.6,-,-,-,-,-
Bukit Timah,2020,7,9,    13.0,     5.0,     7.0,     7.4,-,-,-,-,-
Bukit Timah,2020,7,10,     0.0,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,7,11,     1.4,     0.6,     1.0,     1.0,-,-,-,-,-
Bukit Timah,2020,7,12,    17.2,    12.6,    16.2,    16.2,-,-,-,-,-
Bukit Timah,2020,7,13,    32.6,    16.8,    23.8,    27.6,-,-,-,-,-
Bukit Timah,2020,7,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,16,     0.0,-,-,-,-,-,-,-,-
Bukit Timah,2020,7,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,22,     5.4,     5.2,     5.2,     5.4,-,-,-,-,-
Bukit Timah,2020,7,23,     3.0,     1.2,     1.4,     2.4,-,-,-,-,-
Bukit Timah,2020,7,24,     1.4,     1.0,     1.0,     1.0,-,-,-,-,-
Bukit Timah,2020,7,25,     7.2,     5.2,     5.2,     5.2,-,-,-,-,-
Bukit Timah,2020,7,26,     4.2,     1.8,     3.4,     3.6,-,-,-,-,-
Bukit Timah,2020,7,27,    28.0,     8.4,     9.8,    13.4,-,-,-,-,-
Bukit Timah,2020,7,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Bukit Timah,2020,7,29,    16.0,     8.0,    10.8,    12.0,-,-,-,-,-
Bukit Timah,2020,7,30,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Bukit Timah,2020,7,31,     4.2,     4.0,     4.2,     4.2,-,-,-,-,-
